cartodb_id|orig_geocode_string|orig_lat|orig_lon|mapzen_lat|mapzen_lon|mapquest_lat|mapquest_lon
537494|AVENIDA JURAMENTO 2291,Capital Federal,Argentina|-34.5612259|-58.4555473|-34.561217|-58.455631|-34.5613490702128|-58.455591706383
336700|Toronto, ON M6A 2T9|43.7249527|-79.4570847|43.70011|-79.4163|43.7250939|-79.4574035
537495|AVENIDA PATRICIAS ARGENTINAS 102,Capital Federal,Argentina|-34.6077576|-58.4334183|-34.60696|-58.432498|-34.605026|-58.4336117
537493|AVENIDA CABILDO 3067,Capital Federal,Argentina|-34.5537682|-58.4640121|-34.553738|-58.463938|-34.5537377|-58.4639382
336665|Charlotte, NC 28211|35.17108|-80.79266|35.22709|-80.84313|35.2270869|-80.8431268
537497|CUBA 2410,Capital Federal,Argentina|-34.5580177|-58.4574432|-34.563214|-58.446264|-34.5579964306122|-58.4573820489796
537498|RAMALLO 4656,Capital Federal,Argentina|-34.5525894|-58.4935913|-33.50194|-60.067665|-34.5525989591837|-58.4936020204082
1087622|365 Sunset Dr Dousman  WI 53118|43.0233917|-88.4679108|33.055287|-117.29434|43.0229074|-88.4654249
1087623|365 Westport Ave Norwalk  CT 06851|41.1259384|-73.3920212|32.975491|-117.039209|41.1256820546763|-73.3926466216633
537496|AVENIDA PATRICIAS ARGENTINAS 401,Capital Federal,Argentina|-34.6042862|-58.4348793|-34.6046|-58.4371|-34.605026|-58.4336117
1007605|Cambridge, MA, USA|42|71|42.3751|-71.10561|42.3750997|-71.1056157
336687|Orlando, FL 32839|28.48885|-81.41139|28.53834|-81.37924|28.5421175|-81.3790462
537501|Avenida Caseros 2526, Capital Federal , Argentina|-34.6358452|-58.3978271|-34.6359|-58.3978|-34.6370649|-58.405153
537500|Avenida Amancio Alcorta 3000, Capital Federal , Argentina|-34.648056|-58.4033432|-34.653618|-58.783256|-34.6520298|-58.4073064
537503|Avenida Coronel Roca 5252, Capital Federal , Argentina|-34.6864014|-58.4568024|-34.6784|-58.4665|-34.6718549|-58.4455114
547172|Evansville, IN|37.97708|-87.56405|37.97476|-87.55585|37.9747645|-87.5558483
537504|Avenida Emilio Castro 7680, Capital Federal , Argentina|-34.6564369|-58.5246887|-34.656575|-58.524704|-34.6568208|-58.5255986
537506|Avenida Francisco Beiró 3994, Capital Federal , Argentina|-34.6037407|-58.5080223|-34.613571|-58.52467|-34.6036610816327|-58.5080528979592
537507|Avenida José María Moreno 121, Capital Federal , Argentina|-34.6110153|-58.3683586|-34.628027|-58.433891|-34.6197276938776|-58.4359105510204
537505|Avenida Eva Perón 5251, Capital Federal , Argentina|-34.6597061|-58.4819603|-27.364042|-55.946283|-34.6714596|-58.4974047
537508|Avenida Juramento 2427, Capital Federal , Argentina|-34.5618515|-58.4566078|-34.5621|-58.4571|-34.5584733|-58.4506153
537512|Avenida Santa Fe 1748, Capital Federal , Argentina|-34.5960007|-58.3926048|-46.445132|-67.543643|-34.5959401489796|-58.3925539183673
537511|Avenida San Pedrito 60, Capital Federal , Argentina|-34.6315002|-58.4691086|-34.630814|-58.470256|-34.6315340653061|-58.4691533142857
537514|Avenida Segurola 726, Capital Federal , Argentina|-34.628334|-58.4896622|-34.619517|-58.500348|-34.6282965918367|-58.4896771632653
537509|Avenida Rivadavia 3883, Capital Federal , Argentina|-34.611248|-58.4207497|-34.6113|-58.4209|-34.6113175469388|-58.4207582285714
537517|Corrientes 2937, Capital Federal , Argentina|-34.6042252|-58.4070511|-27.4806|-58.8341|-34.5950982|-58.4446995
537518|Estados Unidos 3275, Capital Federal , Argentina|-34.6215973|-58.4119568|-34.6217|-58.412|-34.6224699|-58.4163824
537522|Quilmes 436, Capital Federal , Argentina|-34.6446114|-58.4172134|-34.6446|-58.4172|-34.647378|-58.4173973
1509704|85, 44|||-37.859134|144.722642|47.2265349|-1.5601437
537521|Porcel de Peralta 750, Capital Federal , Argentina|-34.6293488|-58.5240211|-34.6292|-58.524|-34.6329626|-58.5200267
537520|Parque de la Ciudad , Capital Federal , Argentina|-34.6085091|-58.3734894|-29.440107|-66.89689|-34.67269325|-58.4520305570647
537519|Lisandro de la Torre 39, Capital Federal , Argentina|-34.6394348|-58.5213661|-34.692212|-58.463614|-34.6435626|-58.5206618
537513|Avenida Santa Fe 3259, Capital Federal , Argentina|-34.5883675|-58.4108315|-34.5883|-58.4109|-34.5883213727273|-58.4110188545455
537524|Remedios 3761, Capital Federal , Argentina|-34.6412926|-58.4766731|-34.5803|-58.4607|-34.6409096|-58.4759005
537525|Roma 2, Vicente Lopez , Argentina|-34.4999123|-58.4794044|-32.916249|-68.859596|-34.5019783|-58.4834974
537527|Viamonte 808, Capital Federal , Argentina|-34.6002083|-58.3784561|-34.6002|-58.3783|-34.6001695285714|-58.3784697959184
537516|Congreso 4364, Capital Federal , Argentina|-34.5656586|-58.4821205|-34.5658|-58.4824|-34.5656383589744|-58.4820795128205
547178|Harlingen, TX|26.18986|-97.69555|26.19063|-97.6961|26.1906306|-97.6961026
547177|Greenwood, MS|33.51711|-90.18039|33.51623|-90.17953|33.511422|-90.1764135909027
547183|Kingsport, TN|36.5478|-82.56042|36.54843|-82.56182|36.5484341|-82.5618186
547192|Wilkes Barre, PA|41.24276|-75.8771|41.24591|-75.88131|41.2464824|-75.8817316
537523|Ramallo 4656, Capital Federal , Argentina|-34.5525894|-58.4935913|-33.50194|-60.067665|-34.5525989591837|-58.4936020204082
547180|Idaho Falls, ID|43.492|-112.04199|43.46658|-112.03414|43.4930789|-112.044349
547179|Harrisburg, PA|40.25987|-76.88223|40.2737|-76.88442|40.2663107|-76.8861122
537526|Valdenegro 4281, Capital Federal , Argentina|-34.5549965|-58.4948502|-34.5558|-58.4953|-34.5596248|-58.4916225
642410|Gliwice|||50.29761|18.67658|50.294113|18.6657306
547189|St Louis, MO|38.62775|-90.19956|38.63162|-90.24925|38.6272733|-90.1978889
1509418|596, 44|||22.600171|88.412539|50.1085115|19.0762391
1509417|595, 44|||47.173578|27.553047|65.5743252|22.2015262
1509419|597, 44|||46.23361|6.043208|50.1081653|19.0779562
584046|103 Prince Street New York NY 10012|40.7251015|-73.99897|36.622761|-82.12107|40.7249408571429|-73.9990105714286
547174|Fort Wayne, IN|41.08026|-85.13831|41.1306|-85.12886|41.0799898|-85.1386015
547190|Wausau, WI|44.95954|-89.63031|44.95914|-89.63012|44.9596017|-89.6298239
1509421|599, 44|||50.025206|8.575398|50.1085115|19.0762391
1509422|600, 44|||47.914433|2.282137|50.1085115|19.0762391
1509423|601, 44|||51.441634|7.34454|50.0754566|14.5378747
1509420|598, 44|||47.173206|27.556584|50.1085115|19.0762391
1509424|602, 44|||49.994494|8.257324|50.1085115|19.0762391
1509427|604, 44|||37.578136|126.811221|46.1096456|13.6724384
1509425|603, 44|||34.750536|127.652518|50.1085115|19.0762391
1509429|606, 44|||34.750723|127.652699|46.0987767|13.585955
1509428|605, 44|||50.100347|118.046363|46.140425|13.6612767
1509426|60, 44|||-34.404328|150.874771|14.65031945|120.978668044371
1509430|607, 44|||57.229237|12.177529|50.1081653|19.0779562
1509433|610, 44|||47.902659|2.282719|50.1081653|19.0779562
1509431|608, 44|||1.436157|103.796586|50.1290533|14.4521142
1509432|609, 44|||46.237095|6.036908|50.1085115|19.0762391
3026791|10301 Binky Ln Bonita Springs, FL 34135 United States|26.3624001|-81.7824707|26.362413|-81.782476|26.362032|-81.783397
547187|San Angelo, TX|31.4615|-100.44242|31.46377|-100.43704|31.4319925|-100.454579665498
537531|Dachau|48.25941|11.43434|48.26192|11.4452|48.2588318|11.4339286
1509434|611, 44|||47.901823|2.276752|50.1085115|19.0762391
336828|corpus christi, texas, USA|27.79641|-97.40356|27.80058|-97.39638|27.8002542|-97.3955744
336830|1002 N Chaparral Street, Corpus Christi, TX , Corpus Christi, Texas, USA|27.79641|-97.40356|27.80354|-97.398135|27.8007503597294|-97.3939235340699
336829|1001 N Water Street, Corpus Christi, TX , Corpus Christi, Texas, USA|27.79641|-97.40356|30.566725|-97.832576|27.800866|-97.392979
336833|1014  Mesquite Street, Corpus Christi, TX , Corpus Christi, Texas, USA|27.79641|-97.40356|30.569276|-97.675286|27.793559|-97.3959375
