"cartodb_id","geocode_string","lon","lat"
"336854","118 N Chaparral Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336855","1201  Mesquite Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336856","1201 N Chaparral Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336857","1201 N Water Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336858","1202 N Chaparral Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336859","1205  Mesquite Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336860","1206 N Chaparral Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336861","1207  Mesquite Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336862","120  Mesquite Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"537533","Grobina","21.17155","56.53454"
"537535","Kil","13.31934","59.50429"
"336863","120 N Chaparral Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336864","1214 N Chaparral Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336865","1215  Mesquite Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336866","1216  Mesquite Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336867","1216 N Chaparral Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336868","1217  Mesquite Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336869","1218 N Chaparral Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336870","1218 N Water Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336871","121 N Shoreline Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336872","1222 N Chaparral Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336873","1224  Mesquite Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336874","1224 N Chaparral Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336875","127 N Chaparral Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336876","128  Mesquite Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336877","1301  Mesquite Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336878","1301 N Chaparral Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336879","1301 N Water Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336880","1302  Mesquite Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336881","1302 N Chaparral Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336882","1305  Mesquite Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336883","1305 N Shoreline Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336884","1305 N Water Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336885","1306 N Broadway Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336886","1306 N Chaparral Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336887","1307  Mesquite Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336888","1308  Mesquite Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336889","1309  Mesquite Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336890","1309 N Chaparral Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336891","1310  Mesquite Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"1509706","855, 44","",""
"336892","1310 N Chaparral Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336893","1312 N Broadway Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336894","1314 N Chaparral Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336895","1314 N Water Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336896","1315  Mesquite Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336897","1315 N Chaparral Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336898","1316 N Chaparral Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336899","1318  Mesquite Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336900","1318 N Broadway Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336901","1318 N Water Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336902","1319  Mesquite Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336903","1319 N Chaparral Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
